ticker,ltp,macd,rsi,mfi,cci,ma20,ma50,ma200,adx,total
UNHPL,167.4,-1.8812,46.2416,32.9081,-95.6567,172.735,169.924,207.9975,17.0599,-1
SMFBS,1048.9,-16.9151,50.5872,52.5925,-9.848,1043.71,1086.098,1073.1042,17.6346,0
ILBS,625,-0.1156,47.9368,43.6282,-100.6275,641.655,632.38,676.9266,40.5868,0
RHPL,250.2,-6.2257,39.7731,34.7769,-107.6389,264.355,269.878,294.4095,27.4668,-1
SJCL,243.2,-6.2993,38.1183,15.9715,-94.3854,259.1,265.302,289.592,12.4054,-5
SABSL,566.3,-8.4937,37.3782,39.8889,-153.4083,606.5,609.724,679.4779,12.6302,-3
SAPDBL,218,-4.1224,38.6524,39.1067,-127.2647,232.1,234.782,244.438,12.0743,-2
SFCL,263,-3.6175,42.1122,29.8363,-90.9927,273.48,274.688,290.663,16.5236,-2
NFS,293,-4.3269,42.6378,30.4123,-109.6606,303.015,304.398,303.342,16.5625,-1
HDHPC,123,-2.6368,43.3841,30.1866,-91.5222,127.83,130.424,156.1579,17.1473,-1
NRIC,615,-18.5067,33.5977,17.9358,-101.0171,645.99,678.29,714.6483,23.0469,-4
NICLBSL,600,-15.3519,35.4821,13.51,-103.5396,639.2,650.816,656.5265,17.2503,-4
ACLBSL,545,-3.9938,47.3846,34.7225,-63.054,549.745,558.146,631.052,12.8532,-1
SDLBSL,581,-12.1809,42.3598,34.9193,-91.6459,600.98,613.902,702.7052,25.4269,-1
NRN,390,-13.9794,33.5792,23.0577,-80.3944,414.265,436.116,468.247,13.4543,-4
USLB,709.7,-3.2337,39.2767,51.8615,-74.0643,738.27,743.67,796.048,23.4828,-1
KLBSL,670,-20.3782,41.6832,10.0881,-67.747,692.29,741.114,707.2792,23.7091,-3
LEC,149.9,-9.2039,35.513,16.2952,-96.1591,157.67,185.752,241.9255,11.6404,-5
SSHL,142.2,-3.5541,42.3397,8.3103,-96.7867,150.08,151.662,197.7185,25.0329,-2
SGIC,436,-38.2483,25.5035,8.6455,-96.0567,509.485,553.896,509.041,39.971,-4
NABBC,374,-1.3009,51.5154,32.994,33.4698,370.475,377.506,398.676,12.6471,2
MEN,772,-30.6377,38.9157,25.8492,-92.2824,812.675,868.25,823.6055,15.0642,-3
UMRH,379,-0.7754,52.7176,46.3729,5.299,373.59,379.33,454.228,16.5554,3
CGH,1059,-45.7799,31.2812,24.3836,-88.505,1132.505,1211.96,1205.727,21.38,-3
NIFRA,188,-3.7002,39.4785,25.9885,-86.0082,192.96,198.8,213.7475,14.6931,-3
GLH,214.9,-3.6129,42.7579,42.1089,-78.9405,223.02,224.254,267.7085,16.3768,-1
MLBSL,1785,-14.9652,52.4816,22.447,-0.2765,1772.395,1804.208,2082.8365,17.3073,-1
SHEL,215,-4.6993,41.601,50.1556,-102.9498,225.005,233.62,286.293,17.7495,-1
RURU,715,-11.8039,40.9403,10.0575,-114.2599,742.955,760.468,756.4675,12.5415,-5
CHDC,916.6,-19.3437,35.6476,19.113,-166.8001,983.965,1004.952,841.4185,17.0002,-4
JBLB,1353,-19.666,37.6874,29.986,-87.5492,1377.91,1412.328,1682.394,17.1373,-3
MKLB,606.2,-8.0023,42.4716,26.956,-84.3825,624.605,653.572,718.4078,12.355,-4
SRLI,436,-20.4559,38.2617,31.5342,-90.6646,464.405,494.362,449.4361,20.9653,-2
MKJC,348.9,0.4236,50.7031,50.1081,-74.5503,357.555,341.422,399.245,22.5973,2
MLBS,647,-2.7968,47.3251,53.3987,-34.3865,651.82,660.248,793.2255,13.7523,-1
SAHAS,413,-5.5164,41.3279,15.1943,-104.9631,429.205,430.604,500.352,15.3418,-4
TPC,326,-2.0063,43.8061,37.2841,-119.4389,344.43,336.302,384.325,19.0171,-1
SPC,348,-5.33,42.5527,45.2088,-122.9998,379.99,370.996,426.6925,18.7958,-2
NYADI,194.1,-5.4525,39.2576,48.4968,-139.5838,209.185,215.712,281.3975,11.1714,-3
MBJC,255.2,-5.6593,41.4592,17.4228,-102.6632,274.22,273.624,294.7105,23.7866,-4
BNHC,329,2.2636,48.8706,58.6139,-101.2988,341.835,317.748,371.811,20.1159,1
ENL,836,-24.5948,45.6468,48.7121,-38.5499,842.995,910.246,729.454,22.8539,-1
JALPA,1079,-26.2025,41.5317,11.2412,-51.4496,1102.79,1173.052,1766.6709,28.6309,-2
NESDO,1690,-37.3129,37.3523,36.6894,-96.7036,1735.48,1796.506,2283.4425,11.7676,-3
GVL,339.6,-5.4417,45.0537,19.2243,-89.7751,355.285,351.752,399.265,17.9735,-4
BHL,206,-4.1192,40.4874,39.8373,-112.0406,224.01,218.95,282.168,23.5079,-1
ULBSL,1200,-19.7249,44.9222,10.0518,-59.3759,1224.2,1246.542,1530.5913,23.2964,-3
CYCL,1095,-10.105,52.728,47.6084,69.6527,1055.725,1108.154,0,15.5045,2
RFPL,215,-2.4893,47.9444,52.354,-114.1766,221.045,219.696,259.669,20.4226,-1
DORDI,209,-2.8039,43.2132,29.1833,-99.4655,219.74,216.042,264.581,15.6055,-2
BHDC,324.8,1.8283,43.9817,26.3807,-69.4761,347.26,328.246,382.5854,25.5114,2
HHL,199.4,-1.5948,47.2436,21.5572,-67.6772,207.92,201.08,253.9275,16.8771,-1
HEI,481.5,-23.3688,33.0884,9.7348,-115.3212,527.415,556.3,496.9181,31.4502,-3
UHEWA,290,-6.1188,42.4817,57.7422,-81.3854,312.43,303.488,366.053,22.184,-2
MHL,296.5,-1.1501,47.9135,37.0599,-102.0333,318.95,291.254,336.8995,21.8513,-1
SGHC,227.4,-2.3128,47.7441,23.1246,-75.2667,234.99,229.948,303.521,17.3941,-2
USHEC,251.5,2.9807,49.4514,30.1834,-59.338,261.92,243.3,296.55,37.3467,3
RHGCL,206.8,-2.7482,42.634,33.2105,-112.1315,219.115,214.964,266.281,17.5948,-1
AVYAN,591,-17.4487,39.0507,14.7755,-99.2824,621.485,645.066,662.263,20.9309,-4
PPL,219.9,-4.3924,44.742,36.3792,-108.127,229.305,232.384,267.1155,13.6874,-2
SPHL,503,35.6181,57.6921,68.7373,24.7016,477.965,396.98,404.076,46.5369,7
DLBS,600,-8.7433,41.2479,43.974,-112.4933,623.435,648.97,0,15.1542,-2
SIKLES,353,-1.2791,44.3175,42.0616,-136.9922,366.205,360.624,407.9603,21.8902,-1
EHPL,327,1.6031,46.855,59.4356,-100.4809,345.57,321.83,369.9595,12.9156,0
PHCL,239.1,-8.2134,40.3379,32.1843,-105.7818,265.535,264.702,312.5395,20.1121,-2
SHLB,900,-18.4251,43.6498,42.16,-61.794,920.75,958.786,0,13.7623,-2
BHPL,428,5.8579,49.7603,65.5161,-48.8718,443.835,415.3,0,24.761,3
UNLB,1045,-21.5902,40.8531,27.7267,-71.5354,1089.135,1112.702,0,15.9619,-3
SMHL,360,-0.0431,54.9533,63.382,-38.4745,350.685,347.1,0,28.5516,2
SPL,701,-23.6024,42.1179,40.5034,-82.4732,775.05,742.29,0,24.2559,-2
MKHC,210.6,1.6238,49.4958,69.0113,-122.1845,215.985,205.278,0,23.9001,1
AHL,318,-2.3756,44.4412,37.1194,-98.6913,350.515,323.328,0,16.8915,-1
KDL,746,-30.7358,33.5828,20.2212,-113.5468,797.05,852.508,0,28.3691,-2
SMH,515,-17.1977,40.0558,27.2245,-104.309,554.245,572.604,0,22.273,-3
TAMOR,238,-4.0915,42.4371,41.6974,-99.8001,248.825,249.684,0,16.5565,-1
SMJC,245.3,0.0941,49.2167,39.2268,-75.9688,251.615,242.6,0,17.3277,1
MHCL,196.8,2.7519,48.4165,49.9378,-133.98,205.545,188.396,0,19.8514,1
BPW,964,-62.2716,43.0378,24.8147,-41.788,1008.54,1100.604,0,25.474,-1
ANLB,1862,-45.2326,33.9403,22.4003,-106.8422,1941.125,2013.196,0,14.0058,-4
MAKAR,225.7,-4.2468,40.0966,30.643,-121.7391,241.19,242.336,0,19.0699,-1
MKHL,242.1,-4.2107,41.3357,52.6848,-112.7654,260.05,255.584,0,13.6657,-2
BEDC,206.2,-0.3853,46.6723,40.3846,-91.6368,217.005,202.748,0,18.1498,-1
DOLTI,207,-2.4419,45.9183,36.913,-100.1729,218.46,208.542,0,15.3894,-1
CITY,527,-31.7363,30.8307,15.3348,-155.5059,601.495,651.206,0,24.3588,-4
MCHL,238.1,1.6704,47.4543,44.173,-125.3326,257.345,224.532,0,22.6061,1
IHL,236.9,-0.9174,46.4798,35.0688,-134.9836,250.87,234.664,0,11.0429,-2
HLI,390,-11.3713,36.6106,35.8307,-105.6113,408.535,425.748,0,11.649,-3
MEL,162,-3.875,38.8808,17.5438,-121.0525,174.405,175.25,0,14.4343,-4
RAWA,333,-0.3227,45.4674,47.4348,-112.2023,353.785,337.414,0,15.2751,-1
UAIL,501,-18.6212,32.426,28.3091,-108.0774,540.36,564.07,463.374,31.2582,-2
NRM,226,-7.6759,39.7179,50.8405,-130.4928,239.71,252.486,0,15.982,-2
ILI,468,-19.9171,31.9874,38.8748,-100.7137,497.765,537.932,0,26.4479,-1
GCIL,393,-22.1524,25.1137,7.5611,-148.7076,442.355,0,0,35.4503,-4
TSHL,329.9,-0.481,44.4921,29.5778,-108.7553,373.895,0,0,20.1895,-2
USHL,312.6,-0.0749,44.6793,56.65,-131.5267,339.04,0,0,20.2193,-1
KBSH,774.9,-7.454,55.2338,29.0562,-70.856,793.56,0,0,47.4518,-1
